title,url,source_type,priority,license,author
Wikipedia - Ohm's Law,https://en.wikipedia.org/wiki/Ohm%27s_law,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Kirchhoff's Circuit Laws,https://en.wikipedia.org/wiki/Kirchhoff%27s_circuit_laws,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Resistor,https://en.wikipedia.org/wiki/Resistor,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Capacitor,https://en.wikipedia.org/wiki/Capacitor,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Inductor,https://en.wikipedia.org/wiki/Inductor,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Diode,https://en.wikipedia.org/wiki/Diode,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Transistor,https://en.wikipedia.org/wiki/Transistor,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Operational Amplifier,https://en.wikipedia.org/wiki/Operational_amplifier,wikipedia,1,CC BY-SA 4.0,
Wikipedia - 555 Timer IC,https://en.wikipedia.org/wiki/555_timer_IC,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Arduino,https://en.wikipedia.org/wiki/Arduino,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Raspberry Pi,https://en.wikipedia.org/wiki/Raspberry_Pi,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Breadboard,https://en.wikipedia.org/wiki/Breadboard,wikipedia,1,CC BY-SA 4.0,
Wikipedia - Series and Parallel Circuits,https://en.wikipedia.org/wiki/Series_and_parallel_circuits,wikipedia,1,CC BY-SA 4.0,
Electronics Tutorials,https://www.electronics-tutorials.ws,electronics_tutorials,2,,
Electronics Tutorials - RC Networks,https://www.electronics-tutorials.ws/rc/rc_1.html,electronics_tutorials,2,,
Electronics Tutorials - Op-amp Basics,https://www.electronics-tutorials.ws/opamp/opamp_1.html,electronics_tutorials,2,,
Arduino Documentation,https://docs.arduino.cc/,arduino_docs,3,CC BY-SA 4.0,
Arduino Language Reference,https://www.arduino.cc/reference/en/,arduino_docs,3,CC BY-SA 4.0,
Arduino Tutorials,https://docs.arduino.cc/tutorials/,arduino_docs,3,CC BY-SA 4.0,
Raspberry Pi Documentation,https://www.raspberrypi.com/documentation/,raspberry_pi_docs,4,CC BY-SA 4.0,
Raspberry Pi GPIO,https://www.raspberrypi.com/documentation/computers/raspberry-pi.html,raspberry_pi_docs,4,CC BY-SA 4.0,
SparkFun Tutorials,https://learn.sparkfun.com/tutorials,sparkfun,5,CC BY-SA 4.0,
SparkFun - How to Read a Schematic,https://learn.sparkfun.com/tutorials/how-to-read-a-schematic,sparkfun,5,CC BY-SA 4.0,
SparkFun - Resistors,https://learn.sparkfun.com/tutorials/resistors,sparkfun,5,CC BY-SA 4.0,
Adafruit Learning System,https://learn.adafruit.com,adafruit,6,CC BY-SA 4.0,
Adafruit - Arduino Lessons,https://learn.adafruit.com/ladyadas-learn-arduino,adafruit,6,CC BY-SA 4.0,
EasyEDA,https://easyeda.com,open_source_circuit,7,,
CircuitLab,https://www.circuitlab.com,open_source_circuit,7,,
Wikimedia Commons - Electronics,https://commons.wikimedia.org/wiki/Category:Electronic_components,wikimedia_commons,8,CC BY-SA 4.0,
Wikimedia Commons - Circuit Diagrams,https://commons.wikimedia.org/wiki/Category:Circuit_diagrams,wikimedia_commons,8,CC BY-SA 4.0,
Wikipedia Commons - Arduino,https://commons.wikimedia.org/wiki/Category:Arduino,wikipedia_commons,8,CC BY-SA 4.0,
Wikipedia Commons - Raspberry Pi,https://commons.wikimedia.org/wiki/Category:Raspberry_Pi,wikipedia_commons,8,CC BY-SA 4.0,
